,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,avgLongitude,avgLatitude,Elevation,Slope,Aspect,NDVI,EVI,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,Clear_day_cov,Clear_night_cov,Albedo_BSA_nir,Albedo_BSA_shortwave,Albedo_WSA_nir,Albedo_WSA_shortwave,prcp,srad,dayl,tmax,tmin,LST_Day_1km,LST_Night_1km,Y,M,D,W,H,S,v_component_of_wind_10m,u_component_of_wind_10m,surface_pressure,runoff_sum,total_evaporation_sum,snowfall_sum,snowmelt_sum,snow_depth,snow_density,snow_cover,dewpoint_temperature_2m,temperature_2m,isFire
2526,7,7.0,2,1,5,-149.942,66.98415,809,0.284606184637772,118.257544186388,-410,-620,7948,7321,8229,624,2364,1585,364,510,324,468,0.0,86.870002746582,33557.6015625,-13.4700002670288,-21.0499992370605,12616,12758,2005,3,1,0,0,3,-1.10031680266062,-2.5701359907786,91999.29296875,0.0001574009656906,2.40504741668701e-05,0.0009173862636089,0.0,1.09578450520833,220.481430053711,99.0546875,250.011286417643,252.891149520874,0
751,8,8.0,4,1,1,-155.461164705882,63.0359882352941,223,0.362394425,261.6611345,670,699,3349,3830,3584,327,89,1652,229,263,217,256,1.41999995708466,90.8499984741211,33305.48828125,-3.60999989509583,-10.2600002288818,12959,13068,2009,2,24,0,0,3,-0.264185667037964,0.147602240244548,100172.732584635,0.000305026769638,-5.83566725254059e-05,0.0005083382129669,0.0,0.690185546875,212.999659220378,99.904296875,260.017278035482,263.792686462402,1
3275,8,8.0,4,1,1,-150.9765,60.5422,66,0.655684094748371,271.193228071957,1015,848,2256,2766,2701,290,1953,2000,272,308,251,290,1.21000003814697,109.970001220703,32663.5,-3.60999989509583,-11.1000003814697,13458,12942,2014,2,19,0,0,3,1.53111465771993,-0.0572535196940104,97979.7610677083,0.001072958111763,-2.70465388894081e-05,0.0005897134542465,0.0,0.359049479166667,236.238591512044,99.89453125,261.854100545247,264.420396169027,0
1010,8,8.0,4,1,1,-151.91410625,64.579875,234,0.018956009,153.7696333,1579,1272,2002,2753,1573,280,2000,2000,172,176,162,162,0.0,136.539993286133,35029.2109375,-12.7799997329712,-23.5,12874,12359,2011,3,2,0,0,3,-0.428849458694458,-1.16961733500163,98728.0434570312,0.0001922994852066,-6.4333900809288e-05,4.81903553009033e-05,0.0,0.478719075520833,171.450505574544,100.0,248.97320429484,253.201745986938,1
2403,7,7.0,2,1,5,-147.7546,65.5425,408,0.469062058077511,270.440577298122,1607,1413,2276,3148,914,1000,3991,1952,375,415,375,416,0.0,296.369995117188,55600.25,4.84000015258789,-7.09000015258789,13829,13306,2004,4,19,0,0,0,-1.48077785968781,-1.66744867960612,94710.4580078125,0.0001973658800125,-0.0008656419813632,0.0008083842694759,0.0,0.292724609375,275.730453491211,99.767578125,266.037661870321,269.441708246867,0
1265,8,8.0,4,1,1,-155.0783,64.150075,121,0.090133156,68.36250382,1001,972,2858,3494,2937,466,2504,2000,316,315,319,319,0.0,260.299987792969,43599.26171875,3.3199999332428,-14.3999996185303,13547,13266,2015,3,23,0,0,0,-0.86755625406901,0.770877838134766,99267.2317708333,0.0002677589654922,-0.0003971988335251,0.0,0.0,0.385660807291667,228.336898803711,100.0,262.310169855754,266.029272079468,1
1318,8,8.0,4,1,1,-155.372611764706,64.5843411764706,115,0.090133156,68.36250382,3155,1917,1369,2631,586,519,2000,1996,243,228,238,227,0.0,249.360000610352,44015.53125,2.60999989509583,-14.789999961853,13541,13183,2015,3,24,0,0,0,-1.18866801261902,-0.717889785766602,98601.7630208333,0.0002762228250503,-0.0003438396379351,0.0,0.0,0.453776041666667,232.431299845378,100.0,261.673220952352,265.82022412618,1
3039,8,8.0,4,1,1,-148.5153,66.465,268,0.266868064661825,102.658870635516,7064,3830,428,2488,215,763,1988,2000,224,139,240,153,0.0,303.149993896484,79912.5078125,24.2600002288818,8.64999961853027,15011,14309,2010,6,9,0,0,0,-0.124778548876445,-0.666971842447917,97893.7937825521,5.81145286560059e-06,-0.0024618851020932,0.0,0.0,-7.345364722995101e-24,99.9999847412109,0.0,271.598123550415,291.538628896077,0
1552,9,9.0,4,1,1,-157.53828,61.96001,142,0.025707796,241.8994159,5897,2312,399,1546,205,650,1584,1990,189,185,191,187,0.0,351.070007324219,52985.30859375,10.8000001907349,-2.58999991416931,13901,13222,2016,4,17,1,0,0,1.53105163574219,-0.787662704785665,99048.8849283854,0.0016618967056274,-8.84514302015305e-05,2.30967998504639e-07,0.007962878793478,0.1971435546875,373.411768595378,100.0,273.306327819824,276.011574427287,1
3188,8,8.0,4,1,1,-145.26205,67.37415,594,0.284411388404379,176.607394095592,948,979,3189,3857,3505,336,2000,1977,273,269,276,274,0.0,227.669998168945,49717.62109375,-15.210000038147,-26.2099990844727,12728,12662,2013,4,5,0,0,0,-1.29012143611908,-2.10499954223633,97004.5685221354,2.87145376205444e-05,-0.0003586132079362,0.0001187920570373,0.0,0.369059244791667,168.749984741211,99.99609375,252.084101994832,257.326241175334,0
752,8,8.0,4,1,1,-155.37155,62.64975,166,0.042854739,164.1324342,-274,-328,4719,4467,4625,502,2169,2000,358,404,319,385,2.47000002861023,86.0100021362305,33853.69921875,-0.219999998807907,-8.6899995803833,13273,13105,2009,2,25,0,0,3,0.821419477462769,-0.405728022257487,99373.9874674479,0.0003290623426437,1.97067856788635e-06,0.0009020790457725,0.0,0.7220458984375,224.945622762044,100.0,263.875099182129,266.171995798747,1
4068,9,9.0,4,1,1,-150.465032258064,67.0631580645161,436,0.0715041829806322,209.314129254356,-202,-210,7297,7007,7331,316,1958,1930,483,584,470,579,0.0,200.119995117188,43657.30078125,-9.10000038146973,-19.8400001525879,13082,12728,2022,3,23,0,0,0,-1.98222462336222,-1.87128190199534,96979.8759765625,0.0003572255373001,-0.0001118741929531,3.57627868652344e-07,0.0,0.803873697916667,248.462875366211,96.19140625,250.295527776082,256.665818532308,0
2967,8,8.0,4,1,1,-141.78604,66.3471,351,0.239600270870748,293.914729725637,5063,795,155,473,187,719,1993,800,364,382,360,382,0.0,231.970001220703,44528.37109375,-9.21000003814697,-24.4500007629395,12989,12756,2010,3,25,0,0,0,-0.939012964566549,-2.90133158365885,96755.9000651042,9.08970832824707e-06,-0.0004319883882999,3.07485461235046e-05,0.0,0.246988932291667,160.431299845378,99.833984375,250.291819254557,256.790536880493,0
3732,9,9.0,4,1,1,-153.830783333333,65.5502833333333,213,0.0991938036802947,257.703034493333,631,456,2605,2956,2297,391,1994,2109,433,494,426,491,0.0,325.660003662109,50465.3984375,3.10999989509583,-14.2299995422363,13544,12853,2018,4,8,1,0,0,-1.5644949277242,-0.966960271199544,97730.3818359375,0.0003862082958221,-0.0004447735846042,0.0,0.0,0.6005859375,263.776026407878,100.0,261.907082239787,267.363972345988,0
1481,9,9.0,4,1,1,-153.0014,63.6194,292,0.274062199,331.2914229,6127,3346,559,2328,329,878,3970,1969,146,96,156,103,7.55000019073486,293.600006103516,61799.98046875,15.8999996185303,-0.140000000596046,13942,13795,2015,5,9,1,0,0,0.315130511919657,-0.589337666829427,97034.0792643229,0.0002605319023132,-0.0009447140619158,0.0,1.15148723125458e-05,-7.345364722995101e-24,284.984359741211,0.0557454427083333,275.333422978719,281.955112457275,1
