,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,avgLongitude,avgLatitude,Elevation,Slope,Aspect,NDVI,EVI,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,Clear_day_cov,Clear_night_cov,Albedo_BSA_nir,Albedo_BSA_shortwave,Albedo_WSA_nir,Albedo_WSA_shortwave,prcp,srad,dayl,tmax,tmin,LST_Day_1km,LST_Night_1km,Y,M,D,W,H,S,v_component_of_wind_10m,u_component_of_wind_10m,surface_pressure,runoff_sum,total_evaporation_sum,snowfall_sum,snowmelt_sum,snow_depth,snow_density,snow_cover,dewpoint_temperature_2m,temperature_2m,totalArea_km2
849,8,8,4,1,1,-149.978384375,65.206803125,345,0.172770199,229.6704915,2366,1898,1803,2921,1727,310,3998,1942,167,143,139,127,0.0,123.040000915527,33092.5390625,-18.3199996948242,-32.1599998474121,13131,12263,2010,2,26,0,0,3,-1.06032598018646,-0.409871419270833,96509.2483723958,7.66664743423462e-05,-4.60539013147354e-05,0.0001101121306419,0.0,0.254720052083333,173.337549845378,100.0,242.020523071289,245.548254013062,23.9367729344667
1043,7,7,2,4,5,-141.1209,68.1607,330,0.046729573,102.093472,-254,-400,8751,8317,8876,171,1422,1982,647,759,632,750,0.0,225.570007324219,46100.4296875,-16.6399993896484,-28.0400009155273,12527,11806,2012,3,27,0,0,0,-1.35232150554657,-1.11130905151367,95962.1949869792,3.4332275390625e-05,-0.0001064036041498,0.0006795674562454,0.0,0.748087565104167,167.706364949544,99.587890625,249.736696243286,253.097298940023,0.25
175,10,10,1,6,6,-154.89,59.7639,43,0.100437469,176.2327795,4059,1819,703,1664,357,1201,2000,4000,189,133,170,120,0.0,114.620002746582,34283.12109375,5.59000015258789,0.0399999991059303,13908,13522,2003,2,23,1,0,3,1.12150891621908,-7.39059638977051,99092.1648763021,0.0017028898000717,-0.0015738122165203,0.0027670301496982,0.0008521005511283,0.0201416015625,170.529932657878,19.856201171875,272.456888834635,275.019070943197,0.25
1228,9,9,4,1,1,-160.394314285714,61.3897571428571,39,0.05732,356.219286,975,1140,3965,4822,4411,474,2000,3373,392,407,381,391,0.709999978542328,142.460006713867,36817.94140625,-0.280000001192093,-6.1100001335144,12749,13458,2015,3,4,0,0,3,1.63991340001424,2.43581581115723,100996.483886719,0.0002363920211791,-0.0003456082195043,0.0005828589200973,0.0003117006272077,0.0325520833333333,177.030258178711,29.4340006510417,269.151343663534,270.801634470622,8.51579899643855
538,8,8,4,1,1,-155.154898795181,62.5865855421687,182,0.042854739,164.1324342,6081,2710,443,1818,239,592,1312,554,198,196,201,198,0.0,389.950012207031,56933.62109375,17.3500003814697,1.42999994754791,13898,13622,2005,4,28,0,0,0,-0.908481319745382,-0.563240051269531,100044.908854167,0.003516599535942,0.000102013349533,0.0,0.0171061269938946,0.510335286458333,355.628890991211,100.0,273.710512797038,279.185450871785,59.0564568812416
2048,9,9,4,1,1,-153.722035294118,66.8948294117647,277,0.238567224,135.0198206,397,294,2816,3049,3415,422,3999,670,336,346,337,348,0.0,279.130004882812,52785.73828125,3.86999988555908,-10.5200004577637,13474,12992,2022,4,12,0,0,0,-1.03670048713684,-1.28824190298716,98498.3929036458,0.0003118962049484,-0.000285149551928,0.0,0.0,0.9298095703125,278.927068074544,99.828125,263.254718144735,268.01565806071,26.0384842652927
1730,9,9,4,1,1,-157.3707,63.2916,86,0.090002052,323.8272939,471,325,2433,2674,2135,258,1297,2065,257,273,252,271,2.75,50.310001373291,37811.7890625,0.540000021457672,-2.69000005722046,13077,12681,2019,3,8,0,0,3,0.728259086608887,-1.51710446675618,98076.4205729167,0.0005536526441574,-0.0001358706504106,0.0026294998824596,0.0,0.522054036458333,260.198226928711,100.0,269.86927096049,271.860109965007,0.25
123,7,7,2,4,5,-147.68454,67.67384,571,0.416735768,172.8543979,4778,1979,577,1633,234,994,2000,2000,480,544,486,547,0.0,322.109985351562,65200.8515625,3.90000009536743,-8.97000026702881,12917,13056,2002,5,6,0,0,0,-1.15903409322103,-0.138657251993815,92600.98046875,4.27365303039551e-05,-1.25989317893982e-05,0.0007367953658103,0.0,0.6690673828125,217.584620157878,99.927734375,257.80411529541,264.295040130615,6.69693942375761
1690,1,1,7,1,1,-142.829,65.2755,391,0.183641204,312.7669086,5343,2353,535,1763,257,622,1986,3862,134,99,137,101,1.82000005245209,223.300003051758,60577.71875,3.84999990463257,-3.90000009536743,14026,13638,2018,5,2,0,0,0,-0.17975922425588,2.19611549377441,96201.9991861979,0.0003676265478134,-0.0009376965463161,0.0003722794353961,0.0012822672724723,0.209920247395833,328.060857137044,99.78515625,268.272755304972,274.219622929891,0.803062166434558
394,8,8,4,1,1,-146.03965,66.299025,128,0.156772251,6.151312872,6460,2298,306,1423,148,536,2000,3406,123,88,128,92,8.78999996185303,249.770004272461,66216.2734375,14.4200000762939,1.63999998569489,14242,13764,2004,5,11,0,0,0,0.565483172734578,0.0545145670572917,100665.514811198,3.45706939697266e-05,-0.000646898522973,0.0,0.0020550228655338,0.0161946614583333,152.030258178711,16.7278645833333,274.83686319987,281.022221247355,9.90436962217586
