ClusterID,DetectionDate-first,DetectionDate-last,Duration,avgLatitude,avgLongitude,totalArea_km2,maxBrightness,maxBright_t31,maxFRP,avgConfidence
1438,2015-15-06,2015-15-06,1,61.0642,-154.8515,0.25,340.3,302,42.2,90
1439,2015-15-06,2015-15-06,1,61.8043,-150.1109,0.25,340.4,295.7,42.4,100
1440,2015-15-06,2015-15-06,1,65.3348,-144.4484,0.25,350.4,298.6,172.7,96
1441,2015-15-06,2015-15-06,1,61.0696,-154.85765,0.529622569745448,352.4,301.9,142.2,93
1442,2015-15-06,2015-15-06,1,63.7051,-144.0752,0.25,331.1,288.2,41.6,100
1443,2015-15-06,2015-15-06,1,61.7928,-150.123,0.25,334.3,296.2,32.7,100
1444,2015-15-06,2015-15-06,1,61.7914,-150.1015,0.729204795872772,341.8,297.1,45.7,100
1445,2015-15-06,2015-15-06,1,61.0683,-154.8777,0.25,328.4,288.1,39.9,100
1446,2015-15-06,2015-15-06,1,61.7767857142857,-150.102671428571,7.33740948941721,340.2,295.5,44.1,99.7142857142857
1447,2015-15-06,2015-15-06,1,61.8461,-150.0852,0.25,324.7,291.4,24,100
1448,2015-22-07,2015-25-07,4,62.564225,-141.54305,0.691803565436203,371.5,299.3,197.5,92.5
1449,2015-22-07,2015-08-08,18,66.0880597122302,-154.648060071942,589.085011025283,500,337.2,2223.8,97.5179856115108
1450,2015-22-07,2015-07-08,17,66.105768,-152.688414,90.9294631935247,440.1,324,648,96.74
1451,2015-23-07,2015-07-08,16,65.7964854545455,-153.617304545455,197.249999330239,448,314.7,1312.8,96.2
1452,2015-23-07,2015-31-07,9,65.8967375,-154.064866666667,38.7098143233579,378.4,302.7,269.4,96.2916666666667
1453,2015-23-07,2015-08-08,17,66.1521528735632,-154.023354022989,162.661326082368,454.7,320.6,1872.1,97.4827586206897
1454,2015-23-07,2015-24-07,2,62.8333,-141.92545,4.19833391263802,338.8,302.6,82.5,94
1455,2015-23-07,2015-26-07,4,66.12258,-153.09466,3.63006681961315,346,302.2,72.4,93.8
1456,2015-24-07,2015-24-07,1,66.4713,-149.8719,0.772162073870216,346.7,296.7,66.6,92
1457,2015-24-07,2015-25-07,2,65.1250285714286,-148.894623809524,3.77463461237926,394.6,302.2,280.1,97.5238095238095
1458,2015-24-07,2015-28-07,5,65.7436714285714,-153.376,1.89123065860599,356.3,301.8,72.7,95.4285714285714
1459,2015-24-07,2015-31-07,8,65.931725,-153.177383333333,26.0486279452393,395,300.5,582.5,96.9166666666667
1460,2015-24-07,2015-06-08,14,65.9316296296296,-148.873311111111,15.3068683493594,398.3,310.5,537.9,98.5925925925926
1461,2015-24-07,2015-07-08,15,65.6176772727273,-153.207086363636,63.6755731513819,358.7,299.5,301.5,97.1818181818182
1462,2015-25-07,2015-06-08,13,65.9521,-151.0634,4.39472821579375,339.4,300.2,55.3,95.5
1463,2015-25-07,2015-25-07,1,65.9266,-147.4867,0.25,346.2,296.2,57.7,94
1464,2015-25-07,2015-25-07,1,65.4725363636364,-152.167190909091,7.5794017184644,394,302,230.7,98.3636363636364
1465,2015-25-07,2015-29-07,5,66.5005461538462,-157.687969230769,15.2456157116403,354.7,297.8,109.1,95.6923076923077
1466,2015-25-07,2015-25-07,1,65.843,-151.0371,0.25,363.1,297.6,301,100
1467,2015-25-07,2015-25-07,1,65.6535,-152.1837,0.25,339.7,286,46.1,91
1468,2015-26-07,2015-26-07,1,65.9403,-154.7431,0.25,338.3,290.4,41.2,91
1469,2015-27-07,2015-07-08,12,65.64913,-157.28282,9.16112016625038,399,305.6,243,95.3
1470,2015-27-07,2015-28-07,2,66.08012,-151.2548,1.04248427534984,324.7,278.9,46.2,97.6
1471,2015-28-07,2015-05-08,9,65.14925,-156.396221428571,18.493083202841,395.3,301.3,221.9,96.4285714285714
1472,2015-28-07,2015-29-07,2,65.1723,-154.48785,0.127931918384319,316.4,280.7,24.6,92
1473,2015-28-07,2015-30-07,3,67.1288785714286,-159.257435714286,15.4573097634786,388.3,305,439.5,97.4285714285714
1474,2015-29-07,2015-08-08,11,65.541925,-155.857208333333,6.74056224302149,396.9,304.5,239.7,96.25
1475,2015-29-07,2015-07-08,10,65.7019294117647,-157.645070588235,49.1057107142494,391,308,225.7,95.1764705882353
1476,2015-29-07,2015-30-07,2,65.769,-158.6412,0.0111605716740542,344.9,300.2,66,92
1477,2015-29-07,2015-30-07,2,65.7688,-157.818533333333,0.160212321950212,344.2,302.4,65.5,97.6666666666667
1478,2015-29-07,2015-30-07,2,65.8871666666667,-154.878366666667,0.719593755470441,351.7,296.1,77,95.3333333333333
1479,2015-29-07,2015-29-07,1,65.4291333333333,-156.317433333333,0.470140453428598,371,292,122.1,100
1480,2015-30-07,2015-30-07,1,65.93785,-158.214275,0.669138976040273,352.8,296.8,166.3,94
1481,2015-30-07,2015-07-08,9,64.4579941176471,-155.133829411765,66.5760045745383,374,302.5,418.9,96.2941176470588
1482,2015-31-07,2015-31-07,1,67.1657,-159.1364,0.25,321.3,288.8,21.7,91
1483,2015-31-07,2015-31-07,1,66.0106,-153.349,0.25,317.2,286,17.7,93
1484,2015-31-07,2015-06-08,7,65.93525,-153.79505,14.3628781655041,342.3,295.1,45.3,96
