,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,avgLongitude,avgLatitude,Elevation,Slope,Aspect,NDVI,EVI,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,Clear_day_cov,Clear_night_cov,Albedo_BSA_nir,Albedo_BSA_shortwave,Albedo_WSA_nir,Albedo_WSA_shortwave,prcp,srad,dayl,tmax,tmin,LST_Day_1km,LST_Night_1km,Y,M,D,W,H,S,v_component_of_wind_10m,u_component_of_wind_10m,surface_pressure,runoff_sum,total_evaporation_sum,snowfall_sum,snowmelt_sum,snow_depth,snow_density,snow_cover,dewpoint_temperature_2m,temperature_2m,isFire
35,8,8.0,4,1,1,-149.1408,65.21418,132,0.172770199,229.6704915,4720,836,208,580,95,765,462,481,97,65,101,68,0.0,325.25,76684.5625,21.6499996185303,4.34000015258789,14710,14819,2002,6,18,0,0,0,-1.79687643051147,-1.6563706000646,98769.5349934896,2.96682119369507e-05,-0.0031214784830808,0.0,0.0,-7.27919033709973e-24,100.018864949544,0.0,274.493382136027,287.603986104329,1
3481,7,7.0,2,1,5,-152.29,64.8765,259,0.110633504080775,234.231453075904,5984,2742,454,1807,293,646,397,2240,173,108,185,115,0.0,325.809997558594,71700.078125,23.8600006103516,8.52999973297119,14870,14233,2015,7,12,1,0,1,-0.706574996312459,-1.45377540588379,97206.4485677083,0.0001719295978546,-0.0020997785031795,0.0,0.0,-7.345364722995101e-24,99.9999847412109,0.0,278.348988215129,291.546989440918,0
3424,11,10.0,4,1,1,-153.99716,61.09774,326,1.30697703887338,282.891500627961,5057,2011,496,1511,250,640,2000,2000,137,91,144,94,0.0,370.809997558594,68018.0625,24.3099994659424,8.64999961853027,15061,14413,2015,6,24,0,0,1,0.349082549413045,0.131030400594076,95899.6254882812,0.0031111985445022,-0.0029020514339208,0.0,0.0,-7.345364722995101e-24,99.9999847412109,0.0,285.40510559082,290.48078028361,0
2864,8,8.0,4,1,1,-155.484559782609,62.1646673913044,204,0.0428547385152224,164.132434166851,7421,3849,338,2284,223,510,3991,1956,175,108,182,112,0.0,396.929992675781,68468.25,28.3400001525879,9.52000045776367,14606,14207,2009,7,5,1,0,1,-0.255991617838542,0.463907241821289,98589.0730794271,0.0016053915023803,-0.0032337931916117,0.0,0.0,-7.345364722995101e-24,100.008122762044,0.0,283.833243687948,291.145430882772,0
856,8,8.0,4,1,1,-148.97104,65.402128,416,0.086400232,253.0087634,3047,449,227,426,95,880,2768,2530,108,70,115,73,0.0,363.869995117188,71536.5703125,25.5200004577637,7.71999979019165,14638,14288,2010,5,28,0,0,0,0.786942521731059,-0.324137369791667,96897.2514648438,3.95774841308594e-05,-0.0024082958698272,0.0,0.0,-7.345364722995101e-24,99.9999847412109,0.0,278.504259109497,291.428987503052,1
2365,8,8.0,4,1,1,-141.757211182109,65.2007597444089,238,0.313403824626487,299.28276518554,-1203,-450,987,775,537,150,4000,3603,83,79,89,82,0.0,318.820007324219,76753.046875,28.1499996185303,9.85999965667725,14615,14484,2004,6,18,0,0,0,-0.22133457660675,1.38413683573405,96348.7698567708,0.0003754198551177,-0.0034323539584875,0.0,0.0,-7.27919033709973e-24,99.9999847412109,0.0,283.215323766073,294.053489049276,0
2461,8,8.0,4,1,1,-145.0243,66.4599,142,0.106929743879842,353.058970638245,7509,2832,222,1561,143,484,1994,1999,138,94,140,95,0.0,308.019989013672,61937.4296875,29.0900001525879,9.60000038146973,14681,14424,2004,8,9,0,0,1,1.39255452156067,1.82286643981934,100252.256022135,5.94556331634521e-06,-0.0019131749868392,0.0,0.0,-7.345364722995101e-24,100.041976928711,0.0,283.944585800171,295.002151489258,0
1310,8,8.0,4,1,1,-154.852547619048,64.7566547619048,78,0.178508064,56.24385594,6748,3825,506,2606,256,1164,2000,1992,212,132,220,136,0.0,330.029998779297,75351.71875,29.2600002288818,13.1899995803833,15196,14469,2015,6,22,0,0,1,-0.497772216796875,1.05034764607747,100382.350423177,0.0003546774387359,-0.0031118458136916,0.0,0.0,-7.345364722995101e-24,100.018539428711,0.0,287.666186650594,293.955296198527,1
707,15,15.0,9,7,10,-161.8923,55.4057,2149,0.025017379,270.0,-186,-119,1749,1685,1698,716,1135,2096,227,274,231,271,0.0,297.459991455078,50832.75,7.40999984741211,4.1100001335144,13753,13926,2007,8,24,0,0,1,-0.125218391418457,2.46634165445964,95919.5846354167,0.0055130124092102,-0.001032693311572,0.0,0.0046545229852199,13.4482421875,180.712549845378,40.34375,278.870304743449,280.528225580851,1
57,8,8.0,4,1,1,-153.159166666667,64.5126666666667,144,0.086469813,212.2018539,5637,3131,565,2025,501,1602,1974,1319,134,95,140,99,0.0,271.660003662109,73646.53125,20.9899997711182,9.25,14798,14199,2002,7,1,0,0,1,1.00332204500834,1.93995157877604,98172.6951497396,0.0003701150417327,-0.0028915423899889,0.0,0.0,-7.27919033709973e-24,100.029607137044,0.0,276.49488957723,287.906103769938,1
