,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,avgLongitude,avgLatitude,Elevation,Slope,Aspect,NDVI,EVI,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,Clear_day_cov,Clear_night_cov,Albedo_BSA_nir,Albedo_BSA_shortwave,Albedo_WSA_nir,Albedo_WSA_shortwave,prcp,srad,dayl,tmax,tmin,LST_Day_1km,LST_Night_1km,Y,M,D,W,H,S,v_component_of_wind_10m,u_component_of_wind_10m,surface_pressure,runoff_sum,total_evaporation_sum,snowfall_sum,snowmelt_sum,snow_depth,snow_density,snow_cover,dewpoint_temperature_2m,temperature_2m,totalArea_km2
1181,7,7,2,4,5,-146.1568,63.8633,622,0.545914735,285.2958856,4483,1086,315,827,125,1078,1998,1995,183,126,191,131,0.0,328.640014648438,60113.51953125,18.0599994659424,4.11999988555908,14899,13749,2014,5,4,1,0,0,1.0028266509374,0.647338231404622,94185.4285481771,0.0037798136472702,-0.0004009213298559,0.0,0.0112662576138973,0.0701497395833333,409.661443074544,60.1099446614583,275.325921376546,282.375485738118,0.25
69,9,9,4,1,1,-156.096096428571,65.12945,181,0.133118799,261.6538173,8202,4816,284,2876,150,591,2741,1131,225,134,239,141,0.0,322.690002441406,72535.171875,22.0900001525879,8.81999969482422,14785,14198,2002,7,11,0,0,1,-0.811789671579997,0.0540205637613932,99701.4873046875,0.0004455894231796,-0.0029880814254283,0.0,0.0,-7.27919033709973e-24,100.049789428711,0.0,282.844537099202,289.060994466146,41.5160210893717
351,7,7,2,1,5,-153.0222,65.5276,572,0.099193804,257.7030345,7226,4345,476,2957,205,760,3966,1874,159,98,171,104,1.13999998569489,274.480010986328,69973.7578125,24.3899993896484,12.039999961853,15215,14137,2004,7,19,0,0,1,-0.461129506429036,0.414330800374349,94819.4982096354,0.0007353723049163,-0.0024678222835063,0.0,3.7252902984619103e-09,-7.31350000149687e-24,100.041976928711,0.0,285.620392481486,288.34567006429,0.25
1163,15,15,9,7,10,-159.379125,56.195025,1886,0.250635495,22.31152803,168,97,1489,1540,121,1390,291,320,227,116,233,118,27.7999992370605,36.9799995422363,51332.48046875,3.89000010490417,3.89000010490417,15479,13795,2013,8,23,0,0,1,-0.767672856648763,2.06220626831055,87095.1495768229,0.0168208926916122,0.0001934869214892,0.0,0.0142622105777264,33.3330078125,299.999984741211,99.990234375,280.52285639445,280.899955113729,0.558338492120328
429,9,9,4,1,1,-141.7993,64.813625,955,0.193440711,87.7864654,7402,3811,344,2305,201,782,1986,2000,176,110,177,111,0.0,270.350006103516,58716.96875,22.1499996185303,7.44000005722046,14884,14133,2004,8,13,0,0,1,1.83804774284363,0.403059005737305,90155.3751627604,0.0004626512527465,-0.0024264305830001,0.0,0.0,-7.345364722995101e-24,100.041976928711,0.0,283.938993453979,287.801366170247,0.329310622248798
1930,9,9,4,1,1,-146.9709,66.6799,230,0.156772251,6.151312872,6033,3207,563,2276,307,1080,1977,1994,190,119,200,125,2.47000002861023,193.440002441406,73373.921875,21.8799991607666,11.7200002670288,14892,14511,2021,7,18,1,0,1,0.868451674779256,4.01525942484538,99058.9436848958,1.57207250595093e-05,-0.0016749389469623,0.0,0.0,-7.345364722995101e-24,100.041976928711,0.0,281.538188934326,291.958339055379,0.25
239,9,9,4,1,1,-147.5021,66.8643,190,0.138743832,148.8747124,4473,1063,302,791,147,853,2000,2000,141,91,149,97,0.0,336.179992675781,79314.953125,27.6000003814697,7.73000001907349,14911,14438,2003,7,8,0,0,1,-0.601580421129862,1.02832094828288,98606.1516927083,0.0001123845577239,-0.002889746800065,0.0,0.0,-7.27919033709973e-24,99.9999847412109,0.0,279.615830103556,290.133918762207,0.25
1749,8,8,4,1,1,-152.298503846154,64.3211478021978,367,0.110633504,234.2314531,5675,1672,312,1131,101,925,3947,3555,153,96,159,100,0.0,270.700012207031,74055.0234375,22.1900005340576,11.4099998474121,14746,14243,2019,6,19,0,0,0,0.3973788022995,0.690688808759054,98188.1818033854,0.0005567967891693,-0.0032747173681855,0.0,0.0,-7.345364722995101e-24,100.000310262044,0.0,284.322903951009,289.395405451457,155.863749042997
855,8,8,4,1,1,-150.556381818182,64.4346181818182,193,0.250635495,22.31152803,6587,2811,366,1779,188,882,1980,2000,145,94,151,97,0.0,360.609985351562,67205.34375,21.8199996948242,4.40999984741211,14700,14104,2010,5,21,0,0,0,-0.152006149291992,0.563119252522786,98815.9794921875,6.37173652648926e-05,-0.001265000551939,0.0,0.0,-7.345364722995101e-24,100.002588907878,0.0,278.959646860758,284.610307057699,8.37281465830301
464,8,8,4,1,1,-145.813366666667,64.8118333333333,678,0.400005572,334.3824444,7562,2862,220,1585,131,411,2398,3989,123,78,135,84,0.0,369.470001220703,73757.171875,25.1800003051758,5.55999994277954,14592,14142,2005,6,8,0,0,0,0.643431981404622,-1.29052098592122,92562.626953125,0.0003782510757446,-0.0036021303385496,0.0,0.0,-7.345364722995101e-24,99.9999847412109,0.0,278.333642323812,287.206745147705,0.984541624259151
1936,8,8,4,1,1,-141.6028375,65.3344,396,0.313403825,299.2827652,7677,3940,309,2352,166,628,3860,2000,165,101,166,102,5.8600001335144,181.740005493164,66788.5078125,18.4400005340576,6.32999992370605,14353,14186,2021,7,27,0,0,1,0.261954625447591,1.5011297861735,95061.5174153646,0.00031378865242,-0.0022091269493103,0.0,0.0,-7.345364722995101e-24,100.030258178711,0.0,280.813364028931,289.061205546061,5.61914445813636
1566,9,9,4,1,1,-155.8793,65.8832,63,0.209083871,286.9059498,6409,2201,298,1362,142,801,301,3989,152,94,154,95,2.80999994277954,168.740005493164,75927.4921875,19.8500003814697,10.9200000762939,14834,14282,2016,7,6,0,0,1,1.11116154988607,0.662947336832682,100272.677734375,0.0004768818616867,-0.0023531494662165,0.0,3.7252902984619103e-09,-7.345364722995101e-24,100.039047241211,0.0,285.751522064209,288.823260625203,0.25
701,7,7,2,4,5,-150.5784,69.22715,200,0.22690227,349.1611094,5374,3153,803,2669,359,1274,4000,1979,273,184,258,175,0.0,206.910003662109,52738.6796875,12.3500003814697,1.98000001907349,14261,13665,2007,9,2,1,0,1,-0.704181869824727,-1.66952006022135,98569.1398111979,0.0002331137657165,-0.0004828087985515,0.0,0.0,-7.345364722995101e-24,100.008122762044,0.0,274.800680796305,280.374165852865,1.41684297889196
602,7,7,2,4,5,-144.393525,67.839,529,0.281088874,160.1169337,5424,1919,393,1325,206,1352,2000,3427,179,122,186,126,0.0,260.579986572266,86400.0,15.8299999237061,5.78999996185303,14504,13891,2006,6,8,0,0,0,1.62510299682617,1.70290780067444,93389.2223307292,4.57167625427246e-05,-0.0022643096745014,0.0,2.69711017608643e-05,-7.345364722995101e-24,177.203109741211,0.127604166666667,275.884576797485,282.064778645833,9.86230177123525
1787,9,9,4,1,1,-157.4860975,65.5566475,111,0.160497987,101.6690669,5274,2650,649,2098,310,780,2000,2089,160,107,168,112,0.0,345.739990234375,75380.53125,26.7399997711182,10.5200004577637,15066,14282,2019,7,6,1,0,1,-1.68257033824921,0.878358205159505,101399.923177083,0.0010370463132858,-0.0025242455303669,0.0,3.7252902984619103e-09,-7.345364722995101e-24,100.041976928711,0.0,283.821250279744,290.693209330241,36.1005688422983
231,9,9,4,1,1,-147.5362,66.9277,245,0.138743832,148.8747124,3758,790,308,679,105,815,1994,1964,130,87,136,90,0.0,331.720001220703,79920.1171875,26.8999996185303,7.76000022888184,15124,14264,2003,7,8,0,0,1,-0.601580421129862,1.02832094828288,98606.1516927083,0.0001123845577239,-0.002889746800065,0.0,0.0,-7.27919033709973e-24,99.9999847412109,0.0,279.615830103556,290.133918762207,0.25
1713,15,15,9,7,10,-159.3777,56.1979,1908,0.158940842,110.9915781,-85,-58,2593,2549,2979,3339,293,402,157,215,156,214,2.80999994277954,12.3100004196167,26979.76953125,-5.26000022888184,-5.55000019073486,13484,13209,2018,11,21,0,0,2,-1.06389967600505,2.97871653238932,85453.9278971354,0.0026075541973114,-8.92579555511475e-05,0.0071164928376674,0.0,33.3330078125,299.999984741211,99.990234375,264.083616256714,265.439119974772,0.25
561,8,8,4,1,1,-152.888855,64.374845,183,0.110633504,234.2314531,7878,4471,329,2772,145,524,1191,2258,195,120,205,126,0.0,328.760009765625,62746.8515625,23.2199993133545,5.3899998664856,14858,14102,2005,8,3,0,0,1,-0.652102669080099,-1.01008542378743,97333.9539388021,0.0003716945648193,-0.0022363234311342,0.0,0.0,-7.345364722995101e-24,100.041976928711,0.0,281.434050242106,287.618339538574,13.2462271706554
433,8,8,4,1,1,-142.891730769231,66.2347461538461,225,0.095117957,302.616314,6628,3136,396,1953,256,713,2152,1978,173,107,175,108,0.0,195.779998779297,59472.6796875,21.6100006103516,12.1999998092651,14851,14299,2004,8,14,1,0,1,0.335676272710164,2.68270937601725,99036.4361979167,1.29193067550659e-05,-0.0011369436979293,0.0,3.7252902984619103e-09,-7.345364722995101e-24,100.050114949544,0.0,284.024634679159,291.151248296102,5.5427435922677
1712,15,15,9,7,10,-159.388061111111,56.19345,1901,0.158940842,110.9915781,-380,-306,3767,3491,4400,6936,1810,150,243,276,249,282,8.13000011444092,83.2799987792969,30076.279296875,-4.11999988555908,-6.8600001335144,12992,13216,2018,11,7,0,0,2,-1.57950274149577,1.01005872090658,86868.5537109375,0.0011299848556518,-0.0001423358917236,0.0036901570856571,0.0,33.3330078125,299.999984741211,99.990234375,269.97597249349,270.374044418335,1.9607429335372
1329,7,7,2,1,5,-157.815757142857,60.3071,182,0.092956582,116.5016501,7880,4105,284,2396,165,786,2000,2000,182,110,186,112,0.0,414.859985351562,66814.8515625,26.1599998474121,10.7700004577637,15129,14296,2015,6,16,0,0,0,-6.15861495335897,1.0450127919515,99138.7052408854,0.0030168145895004,-0.0054646227508783,0.0,0.0,-7.345364722995101e-24,100.019841512044,0.0,282.33153406779,291.637320836385,3.45709000618342
