,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,avgLongitude,avgLatitude,Elevation,Slope,Aspect,NDVI,EVI,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,Clear_day_cov,Clear_night_cov,Albedo_BSA_nir,Albedo_BSA_shortwave,Albedo_WSA_nir,Albedo_WSA_shortwave,prcp,srad,dayl,tmax,tmin,LST_Day_1km,LST_Night_1km,Y,M,D,W,H,S,v_component_of_wind_10m,u_component_of_wind_10m,surface_pressure,runoff_sum,total_evaporation_sum,snowfall_sum,snowmelt_sum,snow_depth,snow_density,snow_cover,dewpoint_temperature_2m,temperature_2m,totalArea_km2
849,8,8,4,1,1,-149.978384375,65.206803125,345,0.172770199,229.6704915,6880,3033,358,1937,143,646,3659,216,130,84,134,86,0.0,360.350006103516,70803.1015625,26.2099990844727,9.56999969482422,15363,14041,2010,5,27,0,0,0,-0.342120488484701,-0.0824724833170573,97494.5883789062,8.57114791870117e-05,-0.0028042178601026,0.0,0.0,-7.345364722995101e-24,100.000961303711,0.0,282.579386393229,289.740655263265,23.9367729344667
1043,7,7,2,4,5,-141.1209,68.1607,330,0.046729573,102.093472,7595,4258,356,2605,205,878,1969,1071,203,124,214,130,0.0,256.239990234375,86400.0,23.0400009155273,12.1099996566772,14893,14508,2012,6,25,0,0,1,0.176828583081563,0.167579650878906,94850.6053059896,3.5405158996582e-05,-0.0028558876365423,0.0,0.0,-7.345364722995101e-24,100.042302449544,0.0,284.230253219604,293.315533320109,0.25
175,10,10,1,6,6,-154.89,59.7639,43,0.100437469,176.2327795,4812,2408,707,2019,352,1224,2000,1184,189,129,203,138,0.0,420.440002441406,62655.01171875,15.9300003051758,-1.01999998092651,14821,14266,2003,5,24,1,0,0,-2.24442998568217,1.2934741973877,97909.9594726562,0.0011359751224517,-0.003171619027853,0.0,1.11758708953857e-08,-7.27919033709973e-24,119.866195678711,0.0,272.354585647583,282.716260910034,0.25
1228,9,9,4,1,1,-160.394314285714,61.3897571428571,39,0.05732,356.219286,6246,3807,640,2770,350,1174,1993,1645,203,128,224,142,1.47000002861023,358.760009765625,66404.2578125,18.9500007629395,7.69999980926514,15004,14117,2015,6,2,0,0,0,-2.74308502674103,-2.88900756835938,100304.388183594,0.0002979636192321,-0.0042032813653349,0.0,0.0,-7.345364722995101e-24,99.9999847412109,0.0,278.367431640625,288.415784835815,8.51579899643855
538,8,8,4,1,1,-155.154898795181,62.5865855421687,182,0.042854739,164.1324342,7405,3537,320,2147,154,549,3994,4000,124,78,132,83,0.0,355.859985351562,63377.30859375,25.2000007629395,8.84000015258789,14747,14202,2005,7,27,0,0,1,-1.69303925832113,-0.0107014973958333,98547.6101888021,0.0008555203676223,-0.002325365319848,0.0,0.0,-7.345364722995101e-24,100.017888387044,0.0,280.606629689534,290.397728602091,59.0564568812416
2048,9,9,4,1,1,-153.722035294118,66.8948294117647,277,0.238567224,135.0198206,6915,3132,361,1980,163,616,1987,1138,172,110,177,114,0.0,292.920013427734,77827.0,24.8099994659424,10.6700000762939,15331,14437,2022,7,11,0,0,1,-0.381566802660624,1.53219163417816,96057.7932942708,0.0009477734565734,-0.0027537662535905,0.0,0.0,-7.345364722995101e-24,100.030909220378,0.0,285.35684521993,294.37265141805,26.0384842652927
1730,9,9,4,1,1,-157.3707,63.2916,86,0.090002052,323.8272939,7591,3211,254,1855,122,482,1993,1958,166,102,194,120,0.0,352.660003662109,70065.28125,21.5599994659424,8.27999973297119,14798,14139,2019,6,6,0,0,0,-0.98620065053304,1.92820346355438,100095.592936198,0.0016626119613647,-0.0023112446069717,0.0,0.0,-7.345364722995101e-24,100.025700887044,0.0,280.092464447021,286.877252578735,0.25
123,7,7,2,4,5,-147.68454,67.67384,571,0.416735768,172.8543979,5959,3026,539,2129,297,947,4000,1992,175,116,177,117,0.0,304.410003662109,66529.1015625,24.0599994659424,7.82000017166138,15015,14395,2002,8,4,1,0,1,-0.182598988215129,1.24086761474609,92280.6997070312,0.0001540333032608,-0.0023516751825809,0.0,0.0,-7.27919033709973e-24,100.019515991211,0.0,283.626567840576,290.740614573161,6.69693942375761
1690,1,1,7,1,1,-142.829,65.2755,391,0.183641204,312.7669086,8416,5384,274,3187,174,536,1952,2000,198,115,207,119,0.0,272.809997558594,65033.78125,26.6399993896484,13.0100002288818,14997,14363,2018,7,31,0,0,1,0.273671627044678,1.54000854492188,97431.8115234375,7.79628753662109e-05,-0.0021403040736913,0.0,3.7252902984619103e-09,-7.345364722995101e-24,100.026026407878,0.0,284.32351175944,293.476402282715,0.803062166434558
394,8,8,4,1,1,-146.03965,66.299025,128,0.156772251,6.151312872,6552,2302,292,1402,147,596,2000,267,151,96,155,99,0.0,309.799987792969,61816.51953125,29.5799999237061,8.52999973297119,14920,14364,2004,8,9,0,0,1,1.5504728158315,1.91856956481934,100350.256022135,6.00516796112061e-06,-0.0018388163298368,0.0,3.7252902984619103e-09,-7.345364722995101e-24,100.024398803711,0.0,284.215744654338,295.489374796549,9.90436962217586
