LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,avgLongitude,avgLatitude,Elevation,Slope,Aspect,NDVI,EVI,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,Clear_day_cov,Clear_night_cov,Albedo_BSA_nir,Albedo_BSA_shortwave,Albedo_WSA_nir,Albedo_WSA_shortwave,prcp,srad,dayl,tmax,tmin,LST_Day_1km,LST_Night_1km,Y,M,D,W,H,S,v_component_of_wind_10m,u_component_of_wind_10m,surface_pressure,runoff_sum,total_evaporation_sum,snowfall_sum,snowmelt_sum,snow_depth,snow_density,snow_cover,dewpoint_temperature_2m,temperature_2m,Duration
8,8,4,4,4,-162.81695,62.953425,76,0.12783908,275.667218,4632,2378,782,2132,351,1981,51,1995,316,217,289,197,0,144.520004272461,39599.26953125,6.51000022888184,-0.230000004172325,13744,13482,2000,9,29,0,0,2,-0.195277055104574,1.41742515563965,99901.8909505208,0.00169578194618225,-0.000440426170825958,0,1.64974480867386e-05,-7.3453647229951e-24,166.040023803711,0.317301432291667,274.391636530558,276.193117141724,1
8,8,4,4,4,-147.1587,64.7856,151,0.267640389,346.948073,460,556,4452,4882,3299,496,2000,1965,365,354,348,347,0,92.4899978637695,30002.240234375,-5.94999980926514,-19.3899993896484,12652,12819,2001,2,18,1,0,3,-1.38783268133799,-1.55352862675985,99221.7179361979,2.07126140594482e-05,-0.000241577625274658,0,0,0.255655924479167,161.220687866211,100,259.204924265544,262.950639724731,1
8,8,4,1,1,-148.5395,64.3645,174,0.289804194,354.6681663,5558,2054,394,1380,233,711,479,2851,237,221,236,220,0,303.140014648438,53713.25,7.92000007629395,-4.90000009536743,13817,13523,2001,4,17,0,0,0,-0.545827786127726,-0.454089482625326,98428.3570963542,0.000808596611022949,-0.000449047423899174,4.13786619901657e-05,0.00379013642668724,0.163614908854167,260.521794637044,100,268.283543904622,274.303436279297,1
7,7,2,1,5,-146.5085,63.9931,580,0.545914735,285.2958856,7152,4377,500,3012,222,877,2000,4000,238,142,252,149,2.80999994277954,205.990005493164,72602.6484375,17.2900009155273,10.1000003814697,14634,12921,2001,6,30,1,0,1,0.254707058270772,1.23546854654948,93554.6878255208,0.00209660828113556,-0.00242896191775799,0,0,-7.3453647229951e-24,100.010401407878,0,281.504992167155,286.835311889648,1
7,7,2,1,5,-146.3522,64.024,453,0.447008145,299.675079,105,147,6257,6391,6586,436,2000,2000,590,644,541,618,0,64.4499969482422,30469.8203125,-14.1000003814697,-20.0499992370605,12638,12147,2002,2,18,0,1,3,0.643700122833252,0.412015914916992,91457.7744140625,0.000474780797958374,1.04932114481926e-05,0.000243380665779114,0,0.471150716145833,169.896143595378,99.955078125,254.74814414978,258.512688318888,1
7,7,2,1,5,-146.45345,63.968225,537,0.545914735,285.2958856,-160,-243,7798,7551,7731,290,1908,2000,806,835,644,737,0,37.3300018310547,30900.109375,-16.7000007629395,-20.0400009155273,12433,12239,2002,2,19,0,0,3,0.179563681284587,0.630223512649536,91178.1494140625,0.000463247299194336,3.17953526973724e-06,0.000806156545877457,0,0.488606770833333,169.494776407878,99.98828125,251.484864552816,254.283106486003,1
7,7,2,1,5,-146.3746,63.8386358974359,748,0.545914735,285.2958856,-232,-345,7529,7187,7123,201,2000,1985,533,609,493,593,0,119.269996643066,31753.689453125,-16.1299991607666,-33.7599983215332,12480,12205,2002,2,21,0,0,3,1.54176457722982,0.764726638793945,91431.2490234375,0.000345587730407715,1.17309391498566e-05,0,0,0.6287841796875,178.764958699544,99.9921875,242.669622421265,248.323900222778,5
9,9,4,1,1,-157.142084313725,63.8922156862745,168,0.090002052,323.8272939,1222,910,1863,2382,2431,241,107,291,197,215,180,201,0,116.620002746582,32117.94921875,-5.76000022888184,-17.8099994659424,12790,12954,2002,2,22,0,0,3,-1.56062126159668,-2.34752972920736,99897.8531901042,0.000384032726287842,-0.000201547518372536,0.000221356749534607,0,0.634724934895833,175.085271199544,100,250.780647277832,256.858610788981,8
8,8,4,1,1,-155.49461509434,62.7485698113207,158,0.042854739,164.1324342,1556,1090,1644,2250,1900,263,2000,2000,188,191,171,164,0,136.110000610352,32685.890625,-4.11999988555908,-17.5300006866455,13117,12962,2002,2,22,0,0,3,-1.22386995951335,-1.10493532816569,99210.0198567708,0.000442624092102051,-2.37952917814255e-05,1.54897570610046e-05,0,0.616414388020833,182.776677449544,100,251.597460428874,256.277474721273,8
8,8,4,1,1,-148.827710909091,65.3158063636364,237,0.086400232,253.0087634,5367,1183,224,743,329,162,3999,2000,198,172,167,162,0,88.8000030517578,31364.25,-12.0200004577637,-21.7199993133545,12634,12427,2002,2,22,0,0,3,-2.10236930847168,0.0716190338134766,99550.8115234375,3.43024730682373e-05,-8.24183225631714e-05,0,0,0.303426106770833,151.646469116211,99.955078125,244.059374491374,248.299284617106,7
