,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,avgLongitude,avgLatitude,Elevation,Slope,Aspect,NDVI,EVI,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,Clear_day_cov,Clear_night_cov,Albedo_BSA_nir,Albedo_BSA_shortwave,Albedo_WSA_nir,Albedo_WSA_shortwave,prcp,srad,dayl,tmax,tmin,LST_Day_1km,LST_Night_1km,Y,M,D,W,H,S,v_component_of_wind_10m,u_component_of_wind_10m,surface_pressure,runoff_sum,total_evaporation_sum,snowfall_sum,snowmelt_sum,snow_depth,snow_density,snow_cover,dewpoint_temperature_2m,temperature_2m,totalArea_km2
121,9,9,4,1,1,-151.183114285714,66.7178714285714,287,0.311635436,253.7244836,6046,2547,425,1725,202,705,2000,1125,280,307,282,309,3.60999989509583,179.309997558594,63915.1015625,5.19000005722046,-2.32999992370605,13581,13613,2002,5,6,0,0,0,0.488996505737305,-1.66250165303548,99323.0221354167,0.0002530217170715,-0.0006564389914274,0.002206951379776,0.0003099106252193,0.4873046875,244.935531616211,99.11328125,268.443438212077,274.074174245199,45.7900526362455
1679,8,8,4,1,1,-150.3914,64.7785,150,0.250635495,22.31152803,5872,1948,336,1292,139,375,1999,1951,181,161,182,162,0.0,371.730010986328,56396.8515625,6.90999984741211,-9.27000045776367,13853,13427,2018,4,23,0,0,0,-1.95101102193197,-1.808562596639,98874.94921875,0.0001757442951202,-0.000865576788783,0.0,0.0007335804402828,0.302693684895833,308.560206095378,99.259765625,267.14600499471,272.851977666219,0.25
535,8,8,4,1,1,-157.833419230769,63.9345871794872,101,0.090002052,323.8272939,6277,2467,368,1609,166,597,1781,3955,217,217,219,218,0.0,338.820007324219,57433.21875,14.6300001144409,1.27999997138977,13793,13803,2005,4,27,0,0,0,-0.694749196370443,-1.64569981892904,101935.933105469,0.0028794407844543,-0.0002270955592393,0.0,0.0187362618744373,0.5078125,370.845362345378,100.0,272.968734741211,279.213985443115,145.920530725362
1331,7,7,2,1,5,-146.630866666667,65.3003,575,0.326864022,275.155241,182,226,4852,5032,4715,898,2000,2000,387,469,369,459,0.0,263.850006103516,44462.44140625,6.48999977111816,-8.38000011444092,13461,12957,2015,3,25,0,0,0,-1.33451358477275,-2.38488006591797,92935.5970052083,0.0003369599580764,1.11199915409088e-05,0.0,0.0,0.575398763020833,227.170557657878,97.837890625,260.141592025757,264.468112945557,0.542072346232089
367,9,9,4,1,1,-145.145059677419,65.3222822580645,701,0.576566741,72.06930934,5742,2254,423,1564,193,733,1908,1678,136,90,138,92,0.0,258.609985351562,63195.08984375,4.40999984741211,-4.05000019073486,13997,13433,2004,5,7,0,0,0,-0.767239888509115,-0.150356928507487,92605.2581380208,0.0022645741701126,-0.0006645461544394,0.0006736516952514,0.0008151978254318,0.0390218098958333,282.792302449544,38.8831380208333,272.79373550415,274.10376739502,38.7384837927325
1290,8,8,4,1,1,-152.844042519685,64.6453169291339,204,0.110633504,234.2314531,-107,-97,2876,2815,2995,273,2000,1981,401,442,392,439,0.0,264.049987792969,44017.640625,2.77999997138977,-14.3900003433228,13548,12928,2015,3,24,0,0,0,-0.938139041264852,-1.5008487701416,98061.7213541667,0.0003012418746948,-0.0002835905179381,0.0,0.0,0.3199462890625,212.104802449544,100.0,262.277468999227,266.209791183472,498.838582478569
1584,7,7,2,4,5,-160.86515,60.41535,249,0.289068913,277.3222334,-151,-233,8090,7848,8035,560,2000,3988,562,673,548,665,0.0,208.149993896484,38768.8515625,-9.60000038146973,-18.1399993896484,13307,12654,2017,3,9,0,0,3,-1.72621281941732,-1.90012168884277,101498.272298177,0.0003630816936492,-2.15508043766022e-06,0.0,0.0,0.371866861979167,189.287094116211,100.0,252.337264378866,256.415830612183,0.244205132650046
998,7,7,2,1,5,-157.272582857143,63.1225171428571,117,0.090002052,323.8272939,-179,-278,8383,8088,8046,317,1988,1016,629,731,574,673,0.0,143.399993896484,34040.12890625,-12.5,-22.7900009155273,12536,12594,2011,2,26,1,0,3,-0.683907826741536,2.54047552744548,101774.373209635,0.0006017684936523,-0.0003455020487308,0.0003584623336791,0.0,0.564493815104167,187.734034220378,100.0,252.541085561117,256.103499730428,64.6381782652781
115,9,9,4,1,1,-156.086073333333,63.23168,398,0.194013138,269.5434873,6391,2188,282,1281,208,618,1239,3999,257,261,263,264,5.40999984741211,211.979995727539,59957.9609375,3.65000009536743,-3.30999994277954,13699,13576,2002,5,5,1,0,0,0.699674685796102,-1.88957405090332,96933.1097005208,0.0002672970294952,-0.0006147259846329,0.0004713162779808,0.0,0.4681396484375,279.958643595378,99.990234375,267.648679733276,272.620490392049,13.6834094838773
1607,8,8,4,1,1,-141.332642993631,67.2972339171974,400,0.11018879,208.4614407,1801,1387,1825,2627,2016,213,1687,2000,227,197,216,193,0.0,200.800003051758,47370.8515625,-4.19999980926514,-14.9799995422363,13132,12926,2017,3,31,0,0,0,-1.17353884379069,-1.50983778635661,95101.5615234375,0.0001645237207412,-0.0002423729747533,4.64431941509247e-05,0.0,0.483561197916667,187.811182657878,100.0,261.391027450562,264.574023564657,1418.1874004799
